procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4      0 737988  17404 2217280    0    0  7924  8437 6345 4868 40 18  1 42  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 762960  17404 2191912    0    0  7460  7411 6112 4480 36 21  0 43  0
 1  4      0 757300  17404 2199932    0    0  7852  6437 6030 5678 51 18  1 27  3
 4  1      0 748212  17404 2207892    0    0  7872  7392 6401 5849 51 16  0 34  0
 2  3      0 739816  17404 2216012    0    0  7896  7610 6682 6151 52 17  1 31  0
 2  3      0 732224  17404 2222200    0    0  6024  4893 8705 7562 50 26  0 24  0
 3  2      0 726208  17404 2227132    0    0  4600  3773 8520 7435 53 24  0 23  0
 2  3      0 721364  17404 2231404    0    0  4088  3198 9643 8214 53 29  0 16  2
 2  2      0 715472  17404 2236164    0    0  4612  2688 6994 6876 53 23  1 23  1
 5  0      0 711180  17404 2241116    0    0  4560  3931 8720 7743 51 27  0 22  0
 1  4      0 705928  17404 2245852    0    0  4560  3003 9687 8396 51 29  0 20  0
 1  3      0 700124  17404 2250532    0    0  4404  3985 9156 7821 52 28  0 20  0
 1  4      0 727128  17404 2223076    0    0  5308  2841 8226 7136 50 26  0 24  0
 2  3      0 720968  17404 2229228    0    0  6116  3138 6189 5924 51 19  1 29  1
 0  2      0 718236  17404 2230032    0    0  5284  4427 7237 6746 49 20  1 29  0
 0  2      0 715268  17404 2233560    0    0  3468  1553 6529 6728 20 19 10 50  1
 1  3      0 710904  17404 2237316    0    0  3452  1692 6853 7069 19 23  6 52  0
 3  1      0 706888  17404 2241100    0    0  3696  1407 6217 6392 18 22  5 55  0
 0  4      0 702816  17404 2244768    0    0  3336  1757 7678 7521 25 23  7 45  0
 1  2      0 699176  17404 2248040    0    0  3132  1792 7165 7278 25 20  5 50  0
 1  3      0 695768  17404 2251584    0    0  3260  1818 7352 7382 23 21  7 49  0
 0  4      0 691192  17404 2255944    0    0  4212  1037 5267 5455 16 14  1 69  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 686712  17404 2260140    0    0  4100   881 4595 4954 15 10  2 73  1
 1  3      0 682932  17404 2264276    0    0  4004  1143 5289 5591 16 17  4 62  0
 2  2      0 679680  17404 2267232    0    0  2756  2272 8386 8556 25 24  9 43  0
 2  2      0 675536  17404 2270972    0    0  3504  1567 6346 6664 21 18  5 56  0
 1  2      0 671472  17404 2274600    0    0  3448  1629 6422 6737 24 21  6 48  0
 0  4      0 667496  17404 2278576    0    0  3832  1313 6047 6169 21 16  4 59  1
 0  4      0 663920  17404 2281948    0    0  3144  1858 7729 7407 23 24  6 47  0
 2  2      0 660384  17404 2285208    0    0  3000  2008 8088 8052 24 21  7 49  0
 1  2      0 657848  17404 2288036    0    0  2556  2309 8537 8653 28 25  8 39  0
 1  2      0 654004  17404 2291748    0    0  3504  1460 6306 6567 24 18  5 53  0
 2  3      0 650636  17404 2295360    0    0  3544  1331 5502 5916 18 18  4 61  0
 3  1      0 647028  17404 2298836    0    0  3228  1728 7491 7288 28 23  5 45  0
 0  2      0 643468  17404 2302124    0    0  3128  1719 6858 7073 22 20  5 54  0
 1  2      0 639712  17404 2306024    0    0  3744  1199 5643 5841 23 15  2 59  0
 0  3      0 635900  17404 2309600    0    0  3388  1583 7115 7153 25 20  4 51  0
 3  1      0 632396  17404 2312864    0    0  3032  1940 7831 7831 25 26  9 40  1
 1  1      0 629112  17404 2315980    0    0  2856  2097 8137 8061 25 29  6 40  0
 2  0      0 625364  17404 2319452    0    0  3284  1732 6659 7073 25 18  4 53  0
 0  4      0 621764  17404 2323024    0    0  3416  1530 6426 6666 25 19  6 50  0
 3  0      0 618228  17404 2326244    0    0  3076  1797 6843 7016 20 25  7 48  0
 1  3      0 613472  17404 2330872    0    0  4508   641 3955 4188 15 12  3 70  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 610092  17404 2333868    0    0  2848  2043 8080 7900 26 27  7 40  0
 0  3      0 606376  17404 2337428    0    0  3332  1624 6263 6499 23 19  4 54  1
 2  2      0 602872  17404 2340736    0    0  3084  1917 7668 7469 26 26  7 41  0
 2  2      0 598336  17404 2344924    0    0  4020  1148 5670 5761 23 18  4 55  0
 0  4      0 594800  17404 2348236    0    0  3096  1884 8078 7823 27 24  6 43  0
 2  2      0 591240  17404 2351632    0    0  3196  1600 6905 6778 25 22  4 49  0
 2  0      0 587672  17404 2355020    0    0  3268  1779 7035 7139 27 22  5 46  1
 2  2      0 583948  17404 2358392    0    0  3108  1707 6681 6869 25 21  6 49  0
 3  1      0 580388  17404 2361880    0    0  3304  1640 6843 6738 28 21  5 47  0
 0  4      0 576032  17404 2365420    0    0  3316  1822 8049 7834 21 31  8 39  0
 1  2      0 572568  17404 2369000    0    0  3340  1640 7226 7065 23 27  3 47  0
 2  2      0 568692  17404 2372568    0    0  3468  1443 5421 5884 20 17  9 54  0
 0  2      0 565252  17404 2376084    0    0  3296  1523 6385 6498 22 22  8 48  1
 0  3      0 561188  17404 2379604    0    0  3488  1491 6307 6512 23 18  5 54  0
 2  2      0 557692  17404 2383124    0    0  3184  1731 7810 7447 25 24  5 46  0
 0  4      0 553684  17404 2386744    0    0  3432  1514 6184 6241 24 23  5 48  0
 0  4      0 549620  17404 2390136    0    0  3252  1752 7323 7138 24 26  6 45  0
 4  0      0 546628  17404 2393408    0    0  2980  1910 7845 7543 27 26  5 40  1
 1  3      0 542500  17404 2397016    0    0  3364  1612 6835 6860 22 25  4 49  0
 2  2      0 538808  17404 2400452    0    0  3240  1720 7818 7518 28 24  6 42  0
 3  1      0 534964  17404 2404052    0    0  3424  1504 6223 6513 26 17  4 54  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
