procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  5      0 127912  12000 582752    0    0  8800  3264 6483 10136 12 14 10 64  0
 1  4      0 118652  12008 583460    0    0  8384  3442 7835 11049 16 15  7 62  1
 0  4      0 108280  12008 583964    0    0  8928  3085 6012 9652 11 13  5 70  2
 2  2      0 124432  11892 557988    0    0  9440  2926 6063 9544  7  8  7 78  0
 1  1      0 116904  11892 558772    0    0  7264  7575 6924 10328 11 18 20 51  0
 0  6      0 107044  11892 559472    0    0  8368  3484 7350 11086 16 15  8 61  0
 1  3      0 122260  11776 534928    0    0  8512  3337 6808 10388 16 15  4 65  0
 1  3      0 112904  11784 535496    0    0  7504  6421 5346 8422 11 13  5 69  2
 3  1      0 127088  11636 512336    0    0  9072  4273 7547 10711 15 17  8 59  0
 0  5      0 119244  11636 512716    0    0  9280  2822 5075 8780 13 14  2 71  0
 0  5      0 109416  11636 513276    0    0  8704  3300 7032 10433 12 15  7 66  1
 0  3      0 121552  11584 491048    0    0  9376  2976 6087 9327 11 12  5 71  0
 1  4      0 111748  11584 491684    0    0  8576  3307 6973 10349 14 15  6 64  2
 1  5      0 123860  11348 470312    0    0  9216  2978 5989 9402  8 10  6 76  0
 1  2      0 115096  11348 470928    0    0  8720  3183 7227 10453 11 13  8 68  0
 0  1      0 104952  11348 471724    0    0  8416  3366 7560 10711 16 16  7 60  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  5      0 117176  10992 451792    0    0  8224  3708 7396 10810 18 18  8 56  0
 2  2      0 107096  10996 452248    0    0  8660  3336 6550 10105 15 14  5 63  2
 0  0      0 119292  10896 433264    0    0  8032  3536 8402 11396 17 18 11 54  0
 1  3      0 110952  10904 433808    0    0  7776  7985 6140 9190 11 13 10 66  0
 2  3      0 119292  10804 415660    0    0  9040  3663 6607 10018 11 11  8 70  1
 1  4      0 111984  10804 416488    0    0  8000  3785 8164 11657 15 18 11 55  0
 0  2      0 120332  10656 399152    0    0  9072  3034 6545 9862 13 15  3 68  1
 2  3      0 113096  10656 399556    0    0  9248  3246 6350 9385 14 15  3 68  1
 0  5      0 105780  10656 400244    0    0  8480  3806 7207 10643 14 19  4 63  0
 4  3      0 115400  10508 383888    0    0  8544  3992 6964 10077 15 16  3 65  1
 0  3      0 108408  10508 384388    0    0  8352  4346 7554 10539 15 16  9 59  1
 0  6      0 117704  10160 368852    0    0  8592  4199 6142 9687 15 15 13 57  0
 2  4      0 111624  10160 369128    0    0  8964  7208 6172 10878 11 14  3 71  1
 2  2      0 104096  10160 369704    0    0  8480  4974 6570 9782 13 17  3 66  0
 1  3      0 113744   9604 354884    0    0  9840  4149 5303 8421 10  9  4 77  1
 1  4      0 108200   9612 355584    0    0  7552  6002 7576 11004 14 19  9 58  0
 1  3      0 103916   9612 355980    0    0  8704  4447 6059 9403 10 15 10 64  0
 3  3      0 113792   9436 341860    0    0  8240  3919 6853 10151 10  9 13 65  3
 0  4      0 109192   9436 342572    0    0  8064  3912 7261 10932 15 16  7 62  0
 0  5      0 104468   9436 343360    0    0  8160  4023 7543 10932 14 18  9 59  0
 2  2      0 129108   9024 316728    0    0  6744  9338 6421 9710 11 15 10 64  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 128040   9032 317044    0    0  5808  9211 4529 6696 10  8 14 68  0
 1  2      0 124440   9032 317672    0    0  8528  6074 7152 10532 15 17 11 57  0
 0  3      0 122132   9032 318116    0    0  8528  4797 5898 9336 15 13  4 66  2
 0  3      0 120872   9032 318564    0    0  9008  3832 6157 9277 12 16  8 63  1
 0  4      0 120368   9032 319060    0    0  8864  4564 5666 8952 11 15  6 68  0
 0  4      0 119864   9032 319436    0    0  9728  4249 5662 8724 11 14  1 74  0
 0  4      0 118100   9040 319700    0    0  9968  3984 4874 8053 10 13  4 73  1
 1  2      0 117344   9040 320464    0    0  7872  4956 7660 10687 14 18 11 56  1
 1  2      0 116492   9040 321196    0    0  7584  4771 7647 11160 18 19 13 50  0
 0  2      0 116116   9040 321772    0    0  8272  4385 7391 10782 13 12  8 66  0
 1  3      0 115076   9040 322292    0    0  8624  3605 6652 10133 13 15  8 63  1
 1  2      0 114508   9040 322784    0    0  8832  3467 6701 10051 15 16  3 66  0
 0  3      0 113848   9048 323560    0    0  7872  4313 7427 11070 19 19  7 53  2
 0  3      0 112988   9048 324032    0    0  9008  3774 6065 9551 14 13  5 69  0
 1  3      0 112580   9048 324352    0    0  9168  7138 4921 7651 10 10  6 73  0
 0  4      0 112296   9048 324640    0    0  8192  6726 5123 8219 10 10  9 72  0
 3  4      0 111564   9048 325244    0    0  8752  5007 7310 11006 18 16  7 60  0
 0  3      0 110744   9048 325660    0    0  8752  3966 6123 9548 11 16  8 63  2
 0  5      0 110272   9056 326212    0    0  8784  3818 6357 10055 14 18  2 67  0
 1  5      0 109264   9056 326748    0    0  8752  4094 6521 10003 12  8  3 78  0
 1  4      0 108696   9056 327216    0    0  8704  4096 6525 9768 15 13  6 65  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 108288   9056 327724    0    0  8640  4237 6155 9695 12 19  6 63  0
 2  1      0 107720   9056 328368    0    0  8528  4347 6781 10019 13 16  7 63  1
 1  2      0 106808   9056 329104    0    0  7952  4304 7613 10870 15 20  7 57  1
 0  6      0 106492   9064 329576    0    0  8624  4047 6609 10274 15 16  8 60  0
 0  4      0 105760   9064 330164    0    0  8688  4052 7115 10047 15 17  4 64  0
 0  5      0 105192   9064 330744    0    0  7856  5640 6732 10469  9 12 14 65  0
 0  4      0 104720   9064 331228    0    0  8304  5202 5721 9285 13 14  5 68  1
 0  1      0 104216   9064 331916    0    0  7136  6859 7486 10878 16 19  9 55  1
 1  1      0 103628   9064 332500    0    0  7504  5588 7419 11076 16 19  7 58  0
 1  3      0 129976   8228 306888    0    0  6240  8780 6691 9899 16 16 13 53  1
 0  0      0 129716   8228 307236    0    0  8512  7442 5994 8994 11 15  9 65  0
 0  2      0 129212   8228 307740    0    0  8896  5663 6229 9681 13 13 10 64  0
 0  4      0 128496   8228 308136    0    0  8080  6811 5421 8469 13 12 12 60  3
 1  4      0 128212   8228 308492    0    0  8688  6392 5078 8250 11 12 10 68  0
 0  6      0 128148   8228 308828    0    0  8096  7893 5407 8667  7 14 13 67  0
 1  4      0 127708   8236 309188    0    0  8080  5594 5828 9225  7 10 12 71  1
 0  4      0 127644   8236 309432    0    0  8368  6835 5724 8765  9  7  7 77  0
 1  3      0 127740   8236 309912    0    0  7088  6487 6628 9866 13 14  9 62  3
 0  4      0 127172   8236 310320    0    0  8320  6005 6038 9258 13 12  9 66  0
 0  0      0 126796   8236 310700    0    0  7408  8250 6368 9590 16 13 10 60  1
 1  4      0 126480   8236 311148    0    0  8192  6314 6002 9115 13 16  6 65  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 125968   8244 311572    0    0  7024  9510 6321 9083 14 16 10 61  0
 0  4      0 125400   8244 311912    0    0  7248  7297 5646 9174 12 15  6 63  3
 3  0      0 124928   8244 312324    0    0  7008  8587 6050 9002 14 16 12 57  1
 0  2      0 124140   8244 312812    0    0  7600  6964 6519 9609 13 15  8 64  1
 1  3      0 123660   8244 313360    0    0  6592  8101 7257 10490 14 17 15 54  0
 1  2      0 122808   8244 313848    0    0  7216  7184 7146 10354 16 14 12 59  0
 0  4      0 122400   8252 314296    0    0  7104  7729 6670 9918 10 19 12 59  0
 0  3      0 122116   8252 314616    0    0  7328  7561 5859 9163 11 16  8 63  2
 2  2      0 121644   8252 315256    0    0  7136  8227 7267 10228 14 15 15 55  1
 0  5      0 120856   8252 315724    0    0  6640  9572 5928 8776 12 13 13 61  0
 0  0      0 121140   8252 316012    0    0  5008 10834 4163 6597  8 11  7 74  0
 2  1      0 120604   8252 316512    0    0  6512  9561 7048 10210 15 17 14 53  0
 1  4      0 120416   8260 316916    0    0  6976  9282 5521 8678 12 16 11 58  2
 2  2      0 119628   8260 317300    0    0  6576  9355 5536 8667 12 14 15 59  1
 2  1      0 119376   8260 317644    0    0  4160 11735 4835 7163  9 13 15 63  1
 0  4      0 118776   8260 318196    0    0  7344  8140 7233 10758 16 18 12 54  0
 0  3      0 118368   8260 318484    0    0  5440 10931 4850 7426  8 14 17 61  0
 1  4      0 118116   8260 318812    0    0  8320  7492 5824 9080  8 10  9 72  2
 0  4      0 117416   8268 319340    0    0  4976 10862 5214 8041 13 12 18 57  1
 0  4      0 117352   8268 319504    0    0  8672  7443 5207 8187  9 13 10 67  1
 1  1      0 116880   8268 319724    0    0  5824 10174 4817 7217 11 13 11 65  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 115524   8272 320940    0    0  8549  7427 5634 8944 11 13 14 62  1
 0  4      0 115368   8272 321116    0    0  5632 10317 4557 10519 11 20 18 51  1
 1  2      0 114760   8272 321596    0    0  6624  9090 6110 9785 17 14 10 56  4
 1  3      0 114572   8280 322144    0    0  5856 10491 6374 9379 14 14 16 55  2
 1  2      0 114068   8280 322620    0    0  6112 10008 5985 9395 12 14 17 56  1
 1  4      0 113564   8280 322916    0    0  6752  8666 5949 9204 12 12 13 63  0
 1 10      0 113060   8280 323340    0    0  7392  9313 5927 8600  6  8 11 75  0
 1  5      0 113060   8280 323660    0    0  7136  8472 5568 8745  9 13 10 68  0
 3  7      0 112588   8280 324052    0    0  6176 10075 5614 8569 13 12 20 55  0
 2  2      0 112052   8288 324532    0    0  7664  7618 6831 9904 12 17 10 58  3
 2  7      0 111580   8288 325016    0    0  6112 10633 6565 9528 16 15 15 54  0
 0 11      0 111200   8288 325432    0    0  7328  8018 6588 9724 15 13 13 59  0
 1  1      0 110792   8288 325828    0    0  6992  9473 6303 9139 14 11 13 62  1
 2  2      0 110036   8288 326260    0    0  6496  8700 7488 10255 17 19 15 49  0
 1  3      0 109524   8288 326816    0    0  6800  8949 7020 10273 13 16  9 60  2
 0  3      0 109492   8296 327036    0    0  7216  9463 5283 8330 11 12  8 69  0
 3  2      0 109588   8296 327268    0    0  7312  9027 5490 8449  6  7 14 73  0
 0  7      0 108768   8296 327568    0    0  4960 11341 4644 7056  8  9 20 63  1
 5  2      0 108604   8296 328024    0    0  6464  9258 6252 9278 13 14 15 58  0
