procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 111548  15040 2833148    0    0  2372  3476 9692 9032 36 26  6 31  0
 1  1      0 108460  15040 2836076    0    0  2588  3726 9920 9571 33 29 10 28  0
 1  2      0 104808  15040 2839632    0    0  3396  3160 8989 8336 31 26  7 36  0
 0  1      0 134912  14968 2809368    0    0  3212  3284 9005 8542 34 27  6 33  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 132172  14968 2813112    0    0  3448  2980 8318 7782 34 25  6 36  0
 2  1      0 127888  14968 2816396    0    0  3024  3377 8918 8333 31 32  3 33  1
 2  3      0 124548  14968 2818920    0    0  2296  3485 9684 9343 32 30  8 29  0
 5  0      0 120360  14968 2822116    0    0  2932  3473 9093 8861 35 24  6 33  1
 3  0      0 116748  14968 2824980    0    0  2552  3758 10121 9547 37 31 10 22  0
 2  2      0 114564  14968 2827724    0    0  2364  3694 9940 9376 32 33  8 27  0
 2  0      0 110784  14968 2830904    0    0  2864  3618 10082 9785 31 30  9 29  1
 3  0      0 105924  14968 2834248    0    0  3012  3419 10410 9170 36 31  7 26  0
 1  1      0 119564  14808 2820740    0    0  2692  3658 9411 9245 35 24 10 31  0
 1  1      0 116784  14808 2823892    0    0  2800  3705 10204 9482 40 29  8 23  0
 3  1      0 112532  14808 2827116    0    0  2928  3429 10265 9306 35 31  6 27  0
 3  2      0 108972  14808 2830384    0    0  3016  3405 8902 8494 34 29  8 29  1
 3  0      0 104932  14808 2833656    0    0  2952  3390 9349 8959 34 27  8 30  1
 4  0      0 134416  14736 2803520    0    0  2684  3831 11029 9949 38 34  8 20  0
 2  1      0 130132  14736 2806608    0    0  2788  3594 9620 9088 35 30  7 28  0
 4  0      0 127360  14736 2810072    0    0  3200  3220 8705 8265 33 28  7 32  0
 0  2      0 122980  14736 2813324    0    0  2924  3554 10781 9956 36 33  7 24  0
 0  2      0 119076  14736 2816564    0    0  3000  3414 8881 8530 32 25  6 36  1
 2  0      0 113500  14736 2820220    0    0  3416  3082 8257 8080 29 25 10 36  0
 4  1      0 109720  14736 2823292    0    0  2772  3561 9793 9051 37 30  9 24  0
 2  2      0 106192  14736 2826548    0    0  2984  3471 9637 9035 32 32  7 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 118328  14704 2812480    0    0  1964  3622 9571 9286 26 33 10 31  0
 5  0      0 116376  14704 2814536    0    0  1660  3871 10840 9866 38 32  7 22  1
 3  0      0 113092  14704 2816832    0    0  1972  3553 9345 9088 32 26  7 35  1
 6  0      0 109940  14704 2819108    0    0  2004  3451 9686 9001 32 29  7 31  0
 4  0      0 106948  14704 2822440    0    0  3068  3414 9851 8992 36 32  6 26  0
 3  1      0 103672  14704 2824332    0    0  1524  3957 10761 10158 35 31 10 24  0
 4  1      0 117460  14672 2810156    0    0  1728  3757 10450 9579 34 32  8 25  1
 1  2      0 114500  14672 2812548    0    0  2160  3320 9474 8827 31 29  8 32  0
 0  3      0 111696  14672 2814636    0    0  1800  3754 9573 9301 30 28  9 33  1
 0  4      0 108736  14672 2816776    0    0  1776  3739 9982 9212 35 31  7 27  0
 2  2      0 106272  14672 2819100    0    0  2068  3501 8937 8807 29 28 12 32  0
 4  1      0 118744  14640 2805948    0    0  2768  3609 9404 9012 38 26  6 29  1
 0  4      0 116760  14640 2808156    0    0  2016  3273 8976 8621 30 27  9 34  0
 2  1      0 113924  14640 2810576    0    0  2152  3337 9126 8838 34 26  6 34  0
 0  1      0 110808  14640 2812624    0    0  1744  3810 10120 9935 34 31  7 27  1
 1  1      0 106932  14640 2814652    0    0  1652  3906 10777 9981 39 30  7 24  0
 4  0      0 104948  14640 2816508    0    0  1516  3906 10475 9790 40 31  6 22  1
 2  1      0 117184  14608 2804180    0    0  3396  3682 10549 9374 38 35  6 20  1
 0  2      0 114972  14608 2807768    0    0  3240  3475 9023 8661 32 22  9 37  0
 4  0      0 111152  14608 2811440    0    0  3440  3254 8493 8251 29 25  7 38  1
